id,caption_0,caption_1,tag,secondary_tag,collapsed_tag,num_main_preds
297,the pet on the right is white and the one on the left is not,the pet on the left is white and the one on the right is not,Preposition,,Relation,2
298,the outlet carrying water from the faucet to the shower head is near the hot tap not the cold,the outlet carrying water from the faucet to the shower head is near the cold tap not the hot,Adjective-Temperature,,Relation,1
299,the larger ball is heavier and the smaller one is lighter,the larger ball is lighter and the smaller one is heavier,Adjective-Weight,,Relation,2
300,The adult with the magnifying glass looks at the kid,The adult looks at the kid with the magnifying glass,Preposition Phrase,,Relation,1
301,a dog is on a blanket with spots,a blanket is on a dog with spots,Noun,,Object,1
302,There is a mouse cake for a birthday,There is a birthday cake for a mouse,Noun,,Object,1
303,The cold-blooded animal isn't happy in warm water,The warm-blooded animal isn't happy in cold water,Adjective-Temperature,"Symbolic, Morpheme-Level",Relation,1
304,The white queen is taking the black king,The black queen is taking the white king,Adjective-Color,,Relation,1
305,visiting animals at home can be fun,animals visiting at home can be fun,Altered POS,,Both,1
306,the person is not happy with the cat,the cat is not happy with the person,Noun,,Object,1
307,the person is too big for the small door,the door is too small for the big person,"Noun, Adjective-Size",Pragmatics,Both,1
308,a taller person is covering the eyes of a shorter person,a shorter person is covering the eyes of a taller person,Adjective-Size,,Relation,1
309,the plant is eating the bug,the bug is eating the plant,Noun,,Object,1
310,every bug has a leaf,every leaf has a bug,Noun,Pragmatics,Object,1
311,the green leaves will soon be red as the seasons change,the red leaves will soon be green as the seasons change,Adjective-Color,,Relation,1
312,the white wall will soon be painted blue,the blue wall will soon be painted white,Adjective-Color,,Relation,1
313,the moon prevents the sun's rays from falling on the earth,the earth prevents the sun's rays from falling on the moon,Noun,,Object,1
314,all paper airplanes fly on a straight path except for one which takes a curved one,all paper airplanes fly on a curved path except for one which takes a straight one,Adjective-Manner,Symbolic,Relation,2
315,the person is too big for the pants,the pants is too big for the person,Noun,,Object,1
316,a kid jumped then threw a basketball,a kid threw a basketball then jumped,"Verb-Intransitive, Verb-Transitive Phrase",Series,Relation,2
317,one cheerlearder supporting multiple cheerleaders,multiple cheerleaders supporting one cheerlearder,Determiner-Numeral,,Relation,1
318,two persons wearing one scarf,one person wearing two scarfs,Determiner-Numeral,Morpheme-Level,Relation,1
319,human head on pet,pet head on human,Noun,,Object,1
320,the cow is over the moon,the moon is over the cow,Noun,Symbolic,Object,1
321,someone babys a pet,someone pets a baby,Altered POS,Morpheme-Level,Both,1
322,cat house,house cat,Noun,,Object,1
323,gold for pan,pan for gold,Noun,Pragmatics,Object,1
324,water for plants,plants for water,Noun,,Object,1
325,the businessperson's down fall,the businessperson's fall down,Altered POS,,Both,1
326,outswam the person in the red swimcap,the person in the red swimcap swamout,"Scope, Preposition, Verb-Intransitive",Morpheme-Level,Relation,1
327,manning a ship,shiping a mann,Altered POS,"Symbolic, Morpheme-Level",Both,1
328,the person wearing a sweater stands in front of the person who isn't wearing a sweater,the person who isn't wearing a sweater stands in front of the person wearing a sweater,"Negation, Scope",,Relation,1
329,a person without glasses pushes a person with glasses sitting in a box,a person with glasses pushes a person without glasses sitting in a box,"Negation, Scope",,Relation,1
330,what is green will soon be yellow,what is yellow will soon be green,Adjective-Color,,Relation,1
331,soon this animal not with a tail will have one,soon this animal with a tail will not have one,"Negation, Scope",,Relation,2
332,a mouse is touching a dog,a dog is touching a mouse,Noun,,Object,1
333,fishing for compliments,compliments for fishing,Altered POS,,Both,1
334,that person dusting off their hands,that person hands off their dusting,Altered POS,,Both,1
335,a person wearing black shoes cleaning a bookshelf with an orange duster while a person wearing green shoes drinks wine from an orange glass and relaxes,a person wearing green shoes cleaning a bookshelf with an orange duster while a person wearing black shoes drinks wine from an orange glass and relaxes,Adjective-Color,Series,Relation,2
336,a person with short hair is happily ironing a light blue shirt while a person with long hair sits on a white couch,a person with long hair is happily ironing a light blue shirt while a person with short hair sits on a white couch,Adjective-Size,Series,Relation,2
337,yellow duck shoes on,yellow duck on shoes,Altered POS,,Both,1
338,child in front facing row of yellow rubber ducks,front facing child in row of yellow rubber ducks,"Scope, Preposition Phrase",Series,Relation,1
339,a bird cooking a person,a person cooking a bird,Noun,Symbolic,Object,1
340,a person wearing yellow and a person wearing stripes jumping,a jumping person wearing yellow and a person wearing stripes,"Scope, Adjective-Manner",Series,Relation,2
341,a person wearing yellow with their feet in the air and a person wearing stripes,a person wearing stripes with their feet in the air and a person wearing yellow,Adjective-Color,Series,Relation,2
342,darker things become light in stripes,light things in stripes become darker,"Scope, Preposition Phrase, Adjective-Color",,Both,1
343,together hammering something,hammering something together,Scope,Pragmatics,Relation,1
344,A person sits next to a baby using an orange screwdriver to assemble a white piece of furniture,A baby sits next to a person using an orange screwdriver to assemble a white piece of furniture,Noun,"Pragmatics, Series",Object,1
345,a worker in a yellow hat uses a drill to the left of where the opening in the wall is,the opening in the wall is to the left of where a worker in a yellow hat uses a drill,Sentence,Series,Relation,1
346,A small animal with curled hair,A curled small animal with hair,"Scope, Adjective-Texture",,Relation,1
347,A right hand pulls a glove onto a left hand,A left hand pulls a glove onto a right hand,Adjective-Spatial,,Relation,1
348,A dog and a person with their feet hanging out of a car window,A dog with their feet hanging out of a car window and a person,"Scope, Conjunction Phrase",Pragmatics,Relation,1
349,A person whispering into a dog's ear,A dog whispering into a person's ear,Noun,Morpheme-Level,Object,1
350,one ear that some donkey is whispering a secret into,donkey ear that some one is whispering a secret into,"Altered POS, Determiner-Numeral",Morpheme-Level,Both,1
351,walking someone cut lines into green plants,someone walking lines cut into green plants,"Scope, Altered POS, Verb-Intransitive, Verb-Transitive",,Both,1
352,a volcano above water makes steam,water above a volcano makes steam,Noun Phrase,,Object,1
353,A child riding a bike and an adult,A child and an adult riding a bike,"Scope, Conjunction Phrase",Pragmatics,Relation,1
354,an adult putting a helmet on a child,a child putting a helmet on an adult,Noun,Series,Object,1
355,An adult wearing purple lying next to a child,An adult lying next to a child wearing purple,"Scope, Adjective-Manner","Pragmatics, Series",Relation,1
356,a fencer who is wearing black pants having a point scored against them by another fencer using a wheelchair,a fencer having a point scored against them by another fencer who is wearing black pants using a wheelchair,"Scope, Relative Clause",Series,Relation,1
357,a person with long braids is exercising in front of a person without braids,a person without braids is exercising in front of a person with long braids,"Negation, Noun Phrase, Preposition Phrase",Series,Relation,1
358,"in the stadium, the person wearing gray outperformed the one wearing blue","in the stadium, the person wearing blue outperformed the one wearing gray",Adjective-Color,Series,Relation,1
359,butchering white meat while wearing yellow but not red,butchering red meat while wearing white but not yellow,Adjective-Color,,Relation,1
360,a child with a fake beard and an adult,an adult with a fake beard and a child,Noun,,Object,1
361,"on halloween, a child dressed as an insect is to the right of a child dressed as a mammal","on halloween, a child dressed as a mammal is to the right of a child dressed as an insect",Noun,,Object,2
362,a modern office complex with many windows above a nicely landscaped lawn,a nicely landscaped lawn above a modern office complex with many windows,Noun Phrase,,Object,1
363,a tree is partially inside a parked car,a parked car is partially inside a tree,Noun Phrase,,Object,1
364,some are parking in a train,some are training in a park,Altered POS,Morpheme-Level,Both,1
365,an athlete running on water,water running on an athlete,Noun Phrase,,Object,1
366,a horse getting wet,getting a horse wet,Scope,,Relation,1
367,the glasses full of water are above the person's head and leg,the person's head and leg are above the glasses full of water,Noun Phrase,Series,Object,1
368,a person is touching the head of a squirrel,a squirrel is touching the head of a person,Noun,,Object,1
369,a deer's nose is resting on a child's hand,a child's hand is resting on a deer's nose,"Noun Phrase, Determiner-Possessive",Series,Object,1
370,two sparklers for one hand,one sparkler for two hands,Determiner-Numeral,,Relation,1
371,an animal giving a person food,a person giving an animal food,Noun,,Object,1
372,a spider towering over a dog,a dog towering over a spider,Noun,"Symbolic, Series",Object,1
373,a car going into a hollow tube,a hollow tube going into a car,Noun,,Object,1
374,two people wearing clothes of the same colors are on different side of the tennis net,two people wearing clothes of different colors are on the same side of the tennis net,Adjective-Manner Phrase,,Relation,1
375,living things drinking,drinking living things,"Scope, Adjective-Manner",,Relation,1
376,a person near water using a lasso,near a person using a water lasso,"Scope, Noun, Preposition",,Both,1
377,a person spraying water on someone else and a person on a bike,a person spraying water on a person on a bike and someone else,"Scope, Conjunction",,Relation,2
378,a person stretching behind a brown dog,a brown dog stretching behind a person,Noun,,Object,1
379,a person carrying more than one flotation device,more than one flotation device carrying a person,"Noun Phrase, Determiner-Numeral",,Object,1
380,two kids on a pool floatie and one kid swimming,one kid on a pool floatie and two kids swimming,Determiner-Numeral,Series,Relation,2
381,gears for moving something,moving gears for something,"Scope, Verb-Transitive",,Relation,1
382,looking from above at a collection of similar objects below,looking from below at a collection of similar objects above,Preposition,,Relation,1
383,a toy herbivore stands on top of at least one toy carnivore,at least one toy herbivore stands on top of a toy carnivore,Determiner-Numeral,"Symbolic, Series",Relation,1
384,a person supports a small chair,a chair supports a small person,Noun,,Object,1
385,a person smiles at another person wearing a checked shirt who is hitting a ping pong ball,a person wearing a checked shirt smiles at another person who is hitting a ping pong ball,"Scope, Adjective-Manner",Series,Relation,1
386,two versions of one person,one version of two persons,Determiner-Numeral,Morpheme-Level,Relation,1
387,There are not pink flowers below the bird with yellow head feathers,There are pink flowers not below the bird with yellow head feathers,"Negation, Scope",,Relation,1
388,"In a shopping cart, there are two animals that are the same species but are looking in different directions","In a shopping cart, there are two animals that are the different species but are looking in same directions",Adjective-Manner,Series,Relation,2
389,water is on and under a vessel,a vessel is on and under water,Noun,,Object,2
390,two bodies share with one head,one bodies share with two head,Determiner-Numeral,,Relation,1
391,The worker wears something striped over a white undershirt with a collar,The worker wears something white over a striped undershirt with a collar,Adjective-Color,,Relation,1
392,A person seen from above has a grid below them,A person seen from below has a grid above them,Preposition,,Relation,1
393,head in the clouds,clouds in the head,Noun,Symbolic,Object,1
394,standing on feet,on feet standing,"Scope, Preposition Phrase",Pragmatics,Relation,1
395,They have sunglasses over their hair,They have hair over their sunglasses,Noun,,Object,1
396,an odd number of sweet things on a plate with an even number of sides,an even number of sweet things on a plate with an odd number of sides,Adjective-Manner,,Relation,1
397,a large living thing in front of a large non-living thing,a large non-living thing in front of a large living thing,"Negation, Scope",,Relation,1
398,racing over it,racing it over,"Scope, Preposition",,Relation,1
399,someone is overdoing it,someone is doing it over,"Scope, Preposition",Morpheme-Level,Relation,1
